iter	Passed	Remaining
0	186	186682
1	199	99706
2	215	71505
3	230	57462
4	244	48747
5	260	43235
6	278	39572
7	295	36689
8	310	34225
9	324	32164
10	339	30550
11	354	29193
12	368	27960
13	383	26984
14	397	26119
15	415	25536
16	431	24969
17	448	24480
18	463	23927
19	479	23481
20	496	23129
21	515	22937
22	533	22661
23	549	22357
24	565	22037
25	581	21792
26	599	21594
27	613	21282
28	630	21107
29	644	20848
30	661	20661
31	674	20414
32	692	20284
33	707	20088
34	721	19903
35	737	19756
36	754	19636
37	768	19464
38	784	19336
39	799	19195
40	813	19031
41	829	18921
42	845	18822
43	861	18717
44	876	18591
45	891	18495
46	906	18388
47	921	18277
48	936	18170
49	953	18119
50	967	18003
51	983	17925
52	999	17853
53	1014	17773
54	1028	17673
55	1045	17625
56	1059	17529
57	1075	17470
58	1089	17381
59	1106	17327
60	1121	17257
61	1139	17237
62	1155	17189
63	1174	17171
64	1189	17114
65	1208	17096
66	1224	17047
67	1240	16999
68	1254	16920
69	1273	16916
70	1307	17101
71	1329	17131
72	1364	17331
73	1388	17375
74	1407	17364
75	1426	17347
76	1443	17302
77	1462	17282
78	1481	17268
79	1502	17274
80	1519	17236
81	1535	17189
82	1554	17173
83	1580	17239
84	1599	17217
85	1617	17191
86	1634	17154
87	1650	17107
88	1673	17125
89	1691	17101
90	1706	17044
91	1720	16982
92	1734	16915
93	1748	16849
94	1762	16792
95	1779	16759
96	1793	16697
97	1807	16637
98	1822	16586
99	1835	16523
100	1849	16466
101	1864	16411
102	1878	16358
103	1892	16306
104	1906	16249
105	1920	16197
106	1934	16146
107	1948	16089
108	1961	16033
109	1975	15981
110	1989	15930
111	2002	15876
112	2016	15826
113	2034	15811
114	2047	15755
115	2063	15721
116	2077	15676
117	2091	15629
118	2106	15594
119	2120	15551
120	2135	15510
121	2151	15483
122	2175	15513
123	2207	15595
124	2241	15689
125	2281	15824
126	2316	15921
127	2352	16023
128	2396	16180
129	2435	16299
130	2476	16425
131	2512	16519
132	2550	16627
133	2577	16655
134	2607	16707
135	2650	16836
136	2685	16916
137	2714	16958
138	2747	17016
139	2780	17082
140	2822	17192
141	2856	17259
142	2886	17300
143	2921	17365
144	2955	17427
145	2990	17491
146	3020	17527
147	3049	17554
148	3077	17578
149	3114	17647
150	3146	17689
151	3181	17750
152	3208	17761
153	3232	17757
154	3257	17761
155	3289	17796
156	3317	17814
157	3350	17852
158	3381	17884
159	3422	17967
160	3455	18009
161	3488	18047
162	3526	18110
163	3561	18156
164	3600	18219
165	3637	18276
166	3665	18282
167	3696	18304
168	3726	18323
169	3754	18331
170	3787	18361
171	3815	18365
172	3855	18429
173	3889	18465
174	3920	18482
175	3952	18505
176	3986	18534
177	4010	18518
178	4032	18497
179	4065	18522
180	4097	18541
181	4124	18539
182	4151	18536
183	4186	18567
184	4219	18590
185	4254	18617
186	4289	18650
187	4319	18656
188	4352	18678
189	4386	18700
190	4415	18700
191	4443	18701
192	4472	18702
193	4506	18722
194	4540	18743
195	4572	18756
196	4607	18781
197	4644	18810
198	4684	18855
199	4705	18821
200	4723	18778
201	4742	18735
202	4757	18679
203	4772	18623
204	4786	18562
205	4801	18505
206	4815	18449
207	4829	18390
208	4844	18335
209	4859	18279
210	4873	18225
211	4888	18170
212	4903	18116
213	4917	18060
214	4931	18006
215	4945	17951
216	4959	17896
217	4974	17843
218	4988	17791
219	5003	17738
220	5018	17690
221	5032	17638
222	5048	17591
223	5063	17542
224	5078	17493
225	5094	17446
226	5108	17396
227	5125	17353
228	5141	17308
229	5155	17259
230	5170	17212
231	5185	17166
232	5200	17120
233	5215	17072
234	5229	17023
235	5243	16975
236	5260	16936
237	5277	16897
238	5295	16861
239	5318	16842
240	5336	16808
241	5353	16768
242	5371	16732
243	5386	16689
244	5400	16642
245	5415	16597
246	5429	16552
247	5447	16517
248	5465	16483
249	5483	16450
250	5502	16419
251	5520	16385
252	5545	16372
253	5573	16370
254	5608	16385
255	5638	16385
256	5656	16352
257	5673	16316
258	5689	16278
259	5707	16244
260	5727	16215
261	5748	16191
262	5769	16167
263	5800	16170
264	5820	16144
265	5839	16113
266	5856	16079
267	5874	16046
268	5892	16012
269	5908	15975
270	5926	15943
271	5944	15909
272	5965	15885
273	5985	15859
274	6015	15858
275	6045	15859
276	6085	15884
277	6118	15890
278	6158	15915
279	6197	15935
280	6223	15923
281	6239	15885
282	6255	15847
283	6270	15809
284	6289	15778
285	6306	15744
286	6321	15704
287	6336	15664
288	6351	15625
289	6365	15584
290	6381	15548
291	6396	15509
292	6413	15476
293	6427	15434
294	6442	15397
295	6457	15358
296	6473	15322
297	6488	15285
298	6505	15250
299	6523	15222
300	6541	15191
301	6557	15156
302	6577	15130
303	6601	15113
304	6640	15131
305	6679	15148
306	6721	15171
307	6746	15157
308	6763	15124
309	6780	15091
310	6795	15056
311	6811	15021
312	6828	14986
313	6843	14951
314	6859	14916
315	6875	14881
316	6894	14854
317	6911	14822
318	6925	14784
319	6941	14751
320	6956	14714
321	6971	14679
322	6985	14641
323	7000	14606
324	7015	14570
325	7031	14536
326	7045	14501
327	7060	14465
328	7075	14431
329	7091	14396
330	7107	14364
331	7121	14329
332	7142	14307
333	7163	14283
334	7182	14257
335	7202	14233
336	7221	14207
337	7238	14177
338	7255	14147
339	7272	14116
340	7289	14087
341	7306	14056
342	7321	14024
343	7337	13993
344	7354	13962
345	7370	13930
346	7385	13899
347	7401	13867
348	7417	13836
349	7433	13805
350	7449	13774
351	7466	13745
352	7482	13714
353	7497	13682
354	7514	13653
355	7533	13627
356	7549	13597
357	7565	13567
358	7582	13538
359	7601	13513
360	7616	13481
361	7633	13453
362	7650	13425
363	7667	13396
364	7683	13366
365	7699	13336
366	7715	13307
367	7731	13277
368	7747	13249
369	7763	13219
370	7780	13191
